orderid,orderdate,shipmode,customerid,productid,category,subcategory,quantity,profit,discountpercentage,price
CA-2015-116750,2015-07-05,Second Class,BF-10975,FUR-FU-10003829,Furniture,Furnishings,2,0.74,20,4.93
CA-2015-116750,2015-07-05,Second Class,BF-10975,OFF-BI-10004728,Office Supplies,Binders,5,-5.78,70,7.23
CA-2015-162369,2015-08-15,Standard Class,TT-21265,OFF-ST-10000046,Office Supplies,Storage,2,61.39,0,323.1
CA-2017-108441,2017-06-12,Standard Class,SB-20170,OFF-PA-10000697,Office Supplies,Paper,4,9.33,0,19.04
CA-2017-108441,2017-06-12,Standard Class,SB-20170,OFF-BI-10000848,Office Supplies,Binders,3,4.27,20,13.13
CA-2017-108441,2017-06-12,Standard Class,SB-20170,OFF-AR-10004691,Office Supplies,Art,3,16.68,0,64.14
CA-2017-108441,2017-06-12,Standard Class,SB-20170,FUR-CH-10000595,Furniture,Chairs,4,143.04,10,858.24
CA-2015-169740,2015-02-20,Standard Class,LM-17065,TEC-AC-10000927,Technology,Accessories,1,3.0,0,29.99
CA-2016-124051,2016-12-29,First Class,KA-16525,OFF-PA-10001289,Office Supplies,Paper,6,67.44,20,186.05
CA-2016-149111,2016-04-17,Second Class,BF-11170,TEC-PH-10003092,Technology,Phones,1,4.14,20,36.79
CA-2016-149111,2016-04-17,Second Class,BF-11170,FUR-FU-10000206,Furniture,Furnishings,8,6.29,20,18.62
CA-2014-131002,2014-09-07,Second Class,TB-21400,FUR-FU-10004270,Furniture,Furnishings,3,23.65,0,57.69
CA-2014-131002,2014-09-07,Second Class,TB-21400,OFF-BI-10000948,Office Supplies,Binders,3,20.12,0,42.81
CA-2014-131002,2014-09-07,Second Class,TB-21400,OFF-PA-10000223,Office Supplies,Paper,2,6.22,0,12.96
CA-2014-131002,2014-09-07,Second Class,TB-21400,FUR-FU-10004665,Furniture,Furnishings,6,213.69,0,821.88
CA-2014-131002,2014-09-07,Second Class,TB-21400,TEC-PH-10000215,Technology,Phones,3,28.31,0,104.85
US-2016-146794,2016-09-26,Standard Class,SH-19975,FUR-BO-10004467,Furniture,Bookcases,5,20.0,15,424.96
CA-2017-112515,2017-09-17,Second Class,AS-10225,OFF-BI-10000829,Office Supplies,Binders,3,3.5,20,10.78
CA-2017-112515,2017-09-17,Second Class,AS-10225,OFF-BI-10003712,Office Supplies,Binders,3,4.27,20,11.78
CA-2017-112515,2017-09-17,Second Class,AS-10225,OFF-PA-10000062,Office Supplies,Paper,3,80.79,0,164.88
CA-2017-112515,2017-09-17,Second Class,AS-10225,FUR-BO-10003404,Furniture,Bookcases,3,77.58,0,1292.94
CA-2017-112515,2017-09-17,Second Class,AS-10225,OFF-BI-10004233,Office Supplies,Binders,2,8.95,20,25.58
CA-2017-112515,2017-09-17,Second Class,AS-10225,OFF-ST-10001272,Office Supplies,Storage,2,65.44,0,261.74
CA-2017-112515,2017-09-17,Second Class,AS-10225,OFF-LA-10001175,Office Supplies,Labels,5,7.06,0,14.4
CA-2016-150343,2016-08-16,Standard Class,PK-19075,OFF-EN-10004030,Office Supplies,Envelopes,3,5.1,0,10.86
CA-2015-135538,2015-12-24,Standard Class,HR-14830,FUR-CH-10004287,Furniture,Chairs,4,99.43,20,883.84
CA-2017-123372,2017-11-28,Standard Class,DG-13300,TEC-PH-10002834,Technology,Phones,11,494.97,0,1979.89
CA-2017-123372,2017-11-28,Standard Class,DG-13300,OFF-EN-10003055,Office Supplies,Envelopes,2,35.98,0,79.96
CA-2017-159604,2017-04-14,First Class,CL-12700,OFF-BI-10003460,Office Supplies,Binders,2,4.2,0,8.76
CA-2016-164784,2016-05-01,First Class,HF-14995,OFF-LA-10001569,Office Supplies,Labels,1,1.29,20,3.98
CA-2016-164784,2016-05-01,First Class,HF-14995,FUR-TA-10004534,Furniture,Tables,3,-142.07,40,370.62
CA-2016-164784,2016-05-01,First Class,HF-14995,OFF-BI-10002954,Office Supplies,Binders,2,-2.01,70,2.74
CA-2016-111794,2016-10-01,Same Day,HG-15025,TEC-AC-10003832,Technology,Accessories,3,20.87,20,79.51
CA-2016-111794,2016-10-01,Same Day,HG-15025,OFF-PA-10000474,Office Supplies,Paper,1,9.57,20,28.35
US-2015-139759,2015-08-25,Standard Class,NL-18310,FUR-CH-10002774,Furniture,Chairs,1,4.59,20,40.78
US-2015-139759,2015-08-25,Standard Class,NL-18310,OFF-AP-10002765,Office Supplies,Appliances,4,29.67,0,105.96
CA-2014-126403,2014-09-09,Second Class,RR-19525,OFF-PA-10001144,Office Supplies,Paper,3,79.89,0,166.44
CA-2014-126403,2014-09-09,Second Class,RR-19525,FUR-CH-10003761,Furniture,Chairs,6,212.19,0,785.88
CA-2014-126403,2014-09-09,Second Class,RR-19525,OFF-PA-10004665,Office Supplies,Paper,2,12.84,0,26.2
CA-2014-126403,2014-09-09,Second Class,RR-19525,OFF-ST-10000078,Office Supplies,Storage,5,238.65,0,1325.85
CA-2017-136875,2017-12-03,Same Day,TC-21295,OFF-PA-10000357,Office Supplies,Paper,3,79.89,0,166.44
CA-2017-132185,2017-11-27,Standard Class,DB-13615,OFF-AR-10000422,Office Supplies,Art,5,0.77,20,8.76
CA-2017-132185,2017-11-27,Standard Class,DB-13615,OFF-AP-10001205,Office Supplies,Appliances,1,4.36,20,43.58
US-2014-160780,2014-06-21,Same Day,SV-20785,OFF-BI-10001116,Office Supplies,Binders,7,-8.13,70,11.09
US-2014-160780,2014-06-21,Same Day,SV-20785,OFF-BI-10002931,Office Supplies,Binders,2,-16.78,70,25.16
CA-2017-127026,2017-01-21,Standard Class,MH-18115,OFF-BI-10000546,Office Supplies,Binders,5,7.06,0,14.4
CA-2017-127026,2017-01-21,Standard Class,MH-18115,TEC-AC-10002049,Technology,Accessories,5,111.59,0,619.95
CA-2017-127026,2017-01-21,Standard Class,MH-18115,OFF-BI-10001196,Office Supplies,Binders,4,42.07,0,89.52
CA-2017-127026,2017-01-21,Standard Class,MH-18115,TEC-MA-10002981,Technology,Machines,3,152.09,10,350.97
CA-2017-127026,2017-01-21,Standard Class,MH-18115,TEC-PH-10003601,Technology,Phones,1,49.5,0,164.99
CA-2017-137085,2017-06-29,Standard Class,CT-11995,OFF-BI-10000632,Office Supplies,Binders,9,101.58,20,312.55
CA-2016-133123,2016-09-06,Standard Class,KB-16315,OFF-EN-10003055,Office Supplies,Envelopes,3,29.99,20,95.95
CA-2016-133123,2016-09-06,Standard Class,KB-16315,OFF-BI-10001031,Office Supplies,Binders,2,-2.46,70,3.2
US-2016-128195,2016-08-04,First Class,RA-19285,OFF-BI-10002003,Office Supplies,Binders,5,-6.57,80,3.98
CA-2015-153220,2015-11-12,First Class,YC-21895,OFF-PA-10003016,Office Supplies,Paper,5,7.07,0,15.7
CA-2014-123064,2014-06-30,First Class,RA-19915,OFF-AR-10004582,Office Supplies,Art,4,1.64,20,5.25
CA-2017-156412,2017-12-04,Standard Class,CM-12160,OFF-BI-10004364,Office Supplies,Binders,3,-4.46,70,5.35
US-2016-144211,2016-08-28,Standard Class,CS-12130,OFF-PA-10002246,Office Supplies,Paper,3,5.61,20,15.48
US-2016-144211,2016-08-28,Standard Class,CS-12130,TEC-PH-10002890,Technology,Phones,3,8.14,20,108.58
CA-2016-138079,2016-01-22,Standard Class,AJ-10795,FUR-FU-10001475,Furniture,Furnishings,5,37.37,0,109.9
CA-2014-143182,2014-10-15,Standard Class,DL-12865,FUR-FU-10004270,Furniture,Furnishings,1,4.04,20,15.38
CA-2016-161662,2016-02-07,First Class,BE-11410,OFF-PA-10003465,Office Supplies,Paper,2,10.62,20,30.35
CA-2014-145317,2014-03-18,Standard Class,SM-20320,TEC-MA-10003626,Technology,Machines,4,-16.43,50,821.3
CA-2014-145317,2014-03-18,Standard Class,SM-20320,TEC-MA-10002412,Technology,Machines,6,-1811.08,50,22638.48
CA-2014-145317,2014-03-18,Standard Class,SM-20320,OFF-PA-10001804,Office Supplies,Paper,4,7.48,20,21.38
CA-2014-145317,2014-03-18,Standard Class,SM-20320,OFF-AR-10003183,Office Supplies,Art,3,1.0,20,8.02
CA-2014-145317,2014-03-18,Standard Class,SM-20320,FUR-FU-10004270,Furniture,Furnishings,2,8.08,20,30.77
CA-2014-145317,2014-03-18,Standard Class,SM-20320,OFF-FA-10003112,Office Supplies,Fasteners,3,5.92,20,18.94
CA-2014-145317,2014-03-18,Standard Class,SM-20320,FUR-FU-10001986,Furniture,Furnishings,3,15.29,20,122.35
CA-2014-143413,2014-05-24,Standard Class,RP-19390,OFF-PA-10002319,Office Supplies,Paper,3,56.98,0,116.28
CA-2017-156818,2017-07-11,Second Class,JD-16015,TEC-AC-10002323,Technology,Accessories,6,17.24,0,132.6
CA-2017-155873,2017-06-16,Standard Class,AB-10255,OFF-SU-10001165,Office Supplies,Supplies,2,4.34,0,16.68
CA-2017-155873,2017-06-16,Standard Class,AB-10255,OFF-PA-10001246,Office Supplies,Paper,3,9.33,0,19.44
CA-2017-155873,2017-06-16,Standard Class,AB-10255,OFF-PA-10001815,Office Supplies,Paper,4,92.24,0,192.16
CA-2015-121797,2015-01-30,Standard Class,CC-12145,FUR-FU-10001876,Furniture,Furnishings,7,81.85,0,227.36
CA-2015-121797,2015-01-30,Standard Class,CC-12145,TEC-MA-10000488,Technology,Machines,3,216.0,20,1919.98
US-2015-120572,2015-12-11,Standard Class,GH-14425,OFF-BI-10001098,Office Supplies,Binders,2,-8.98,70,12.83
CA-2017-132430,2017-10-09,First Class,CP-12085,FUR-FU-10003577,Furniture,Furnishings,4,9.18,20,45.89
CA-2017-146031,2017-07-29,Second Class,GM-14440,OFF-AR-10002656,Office Supplies,Art,9,22.24,0,60.12
CA-2014-110100,2014-04-25,Standard Class,LC-16885,TEC-PH-10004531,Technology,Phones,3,37.8,20,302.38
CA-2015-103723,2015-12-01,Standard Class,BT-11305,OFF-AR-10003251,Office Supplies,Art,5,5.56,0,13.9
CA-2014-127187,2014-12-04,Standard Class,CP-12085,TEC-PH-10000673,Technology,Phones,2,62.39,0,129.98
CA-2017-128475,2017-08-26,Standard Class,SC-20680,TEC-AC-10000158,Technology,Accessories,2,15.12,0,71.98
CA-2014-100006,2014-09-07,Standard Class,DK-13375,TEC-PH-10002075,Technology,Phones,3,109.61,0,377.97
CA-2017-144827,2017-12-21,Standard Class,SE-20110,OFF-ST-10004340,Office Supplies,Storage,2,33.58,0,124.36
CA-2014-110030,2014-12-06,Second Class,LF-17185,FUR-FU-10002759,Furniture,Furnishings,3,-14.39,60,23.98
CA-2014-121286,2014-11-04,Second Class,ON-18715,OFF-FA-10000585,Office Supplies,Fasteners,3,2.72,20,8.38
CA-2014-121286,2014-11-04,Second Class,ON-18715,OFF-AP-10004859,Office Supplies,Appliances,5,5.1,20,58.24
CA-2016-164735,2016-04-14,Second Class,TB-21400,OFF-ST-10001558,Office Supplies,Storage,5,12.18,0,81.2
CA-2014-153479,2014-10-04,Standard Class,DF-13135,OFF-LA-10004689,Office Supplies,Labels,5,6.79,0,14.45
CA-2014-153479,2014-10-04,Standard Class,DF-13135,OFF-BI-10002867,Office Supplies,Binders,2,31.09,20,95.65
CA-2017-149888,2017-11-07,Standard Class,EP-13915,TEC-PH-10003811,Technology,Phones,5,-71.99,40,359.97
CA-2017-149888,2017-11-07,Standard Class,EP-13915,FUR-TA-10000849,Furniture,Tables,4,-140.14,40,350.35
CA-2017-119193,2017-12-22,First Class,SK-19990,OFF-BI-10000848,Office Supplies,Binders,1,-1.31,70,1.64
CA-2017-119193,2017-12-22,First Class,SK-19990,TEC-PH-10003072,Technology,Phones,7,94.49,40,629.96
CA-2017-104801,2017-02-13,Standard Class,FH-14350,OFF-AR-10001547,Office Supplies,Art,3,1.79,0,6.63
CA-2017-104801,2017-02-13,Standard Class,FH-14350,TEC-AC-10001838,Technology,Accessories,4,343.98,0,799.96
CA-2017-104801,2017-02-13,Standard Class,FH-14350,FUR-FU-10004017,Furniture,Furnishings,1,21.51,0,107.53
CA-2014-107594,2014-07-02,Standard Class,EH-13945,TEC-PH-10002923,Technology,Phones,2,19.97,0,73.98
CA-2014-107594,2014-07-02,Standard Class,EH-13945,OFF-AR-10000716,Office Supplies,Art,1,2.18,0,5.58
CA-2015-129770,2015-02-21,Second Class,JE-15715,OFF-PA-10000249,Office Supplies,Paper,4,23.09,0,49.12
CA-2015-115798,2015-11-13,Standard Class,KL-16645,TEC-PH-10003691,Technology,Phones,3,94.49,0,377.97
CA-2015-115798,2015-11-13,Standard Class,KL-16645,OFF-PA-10001560,Office Supplies,Paper,7,19.87,0,42.28
CA-2015-115798,2015-11-13,Standard Class,KL-16645,FUR-BO-10004467,Furniture,Bookcases,3,56.99,0,299.97
CA-2015-115798,2015-11-13,Standard Class,KL-16645,TEC-PH-10001819,Technology,Phones,2,43.19,0,89.98
CA-2017-122707,2017-04-16,First Class,EB-13750,OFF-SU-10000157,Office Supplies,Supplies,4,9.54,0,477.24
CA-2017-122707,2017-04-16,First Class,EB-13750,TEC-AC-10004227,Technology,Accessories,2,1.56,0,25.98
CA-2016-165015,2016-02-25,Second Class,BD-11725,OFF-EN-10003134,Office Supplies,Envelopes,5,17.52,20,46.72
CA-2014-149244,2014-11-04,Standard Class,MS-17530,FUR-FU-10004671,Furniture,Furnishings,2,13.43,0,35.34
CA-2015-140144,2015-06-20,Second Class,SC-20770,FUR-FU-10002253,Furniture,Furnishings,6,100.48,0,257.64
CA-2015-140144,2015-06-20,Second Class,SC-20770,TEC-PH-10002726,Technology,Phones,3,47.24,20,125.98
CA-2017-163321,2017-08-07,Second Class,FM-14380,TEC-AC-10004571,Technology,Accessories,1,22.0,20,79.99
CA-2014-155887,2014-05-12,Standard Class,KT-16480,FUR-TA-10002228,Furniture,Tables,3,-130.01,30,700.06
US-2015-165449,2015-11-22,Standard Class,AP-10720,TEC-AC-10004127,Technology,Accessories,4,-1.36,20,27.17
CA-2015-110247,2015-12-04,Standard Class,RH-19555,OFF-BI-10001553,Office Supplies,Binders,3,-6.03,70,8.23
US-2014-141257,2014-06-08,Standard Class,CS-11950,FUR-CH-10002758,Furniture,Chairs,3,73.19,20,585.55
CA-2014-154669,2014-08-08,Second Class,TM-21010,OFF-ST-10000532,Office Supplies,Storage,11,110.05,0,423.28
CA-2014-158029,2014-05-26,Standard Class,HF-14995,FUR-CH-10000988,Furniture,Chairs,2,22.53,20,225.3
CA-2015-155306,2015-04-17,Standard Class,GA-14515,OFF-AR-10003251,Office Supplies,Art,2,2.22,0,5.56
CA-2015-155306,2015-04-17,Standard Class,GA-14515,TEC-AC-10003174,Technology,Accessories,3,129.35,0,323.37
CA-2015-155306,2015-04-17,Standard Class,GA-14515,TEC-PH-10002310,Technology,Phones,5,68.6,20,783.96
CA-2015-155306,2015-04-17,Standard Class,GA-14515,OFF-AP-10002651,Office Supplies,Appliances,5,419.82,0,1447.65
CA-2015-155306,2015-04-17,Standard Class,GA-14515,OFF-PA-10001184,Office Supplies,Paper,2,5.86,0,11.96
CA-2016-127775,2016-06-11,Second Class,ES-14020,TEC-AC-10002402,Technology,Accessories,3,71.99,0,239.97
CA-2016-146171,2016-03-11,Standard Class,JP-16135,FUR-FU-10004270,Furniture,Furnishings,4,31.54,0,76.92
CA-2016-146171,2016-03-11,Standard Class,JP-16135,OFF-ST-10001526,Office Supplies,Storage,4,125.14,0,481.32
CA-2014-129574,2014-05-26,First Class,Dp-13240,OFF-PA-10002893,Office Supplies,Paper,5,23.23,0,48.4
CA-2017-126536,2017-10-12,First Class,NK-18490,TEC-AC-10003709,Technology,Accessories,1,0.44,0,0.99
CA-2017-126536,2017-10-12,First Class,NK-18490,OFF-BI-10001191,Office Supplies,Binders,5,36.92,20,101.84
CA-2017-165757,2017-06-22,Standard Class,PL-18925,OFF-BI-10003166,Office Supplies,Binders,3,-7.58,70,10.33
CA-2017-165757,2017-06-22,Standard Class,PL-18925,OFF-BI-10003982,Office Supplies,Binders,5,-23.89,70,31.16
CA-2017-165757,2017-06-22,Standard Class,PL-18925,OFF-ST-10004835,Office Supplies,Storage,2,0.67,20,8.93
CA-2017-167752,2017-01-15,First Class,RW-19690,OFF-AP-10000159,Office Supplies,Appliances,1,3.87,20,34.38
CA-2017-167752,2017-01-15,First Class,RW-19690,OFF-AP-10002945,Office Supplies,Appliances,8,312.68,20,1924.16
US-2015-122140,2015-04-02,Standard Class,MO-17950,OFF-AP-10001242,Office Supplies,Appliances,2,-80.48,80,32.19
US-2015-122140,2015-04-02,Standard Class,MO-17950,TEC-AC-10003038,Technology,Accessories,7,-0.63,20,50.12
US-2015-122140,2015-04-02,Standard Class,MO-17950,TEC-AC-10003289,Technology,Accessories,3,1.8,20,47.98
CA-2016-163986,2016-09-03,Standard Class,JJ-15445,OFF-ST-10000918,Office Supplies,Storage,5,14.17,0,54.5
CA-2017-158967,2017-12-10,First Class,BT-11680,FUR-FU-10001940,Furniture,Furnishings,3,5.73,20,19.1
CA-2016-131576,2016-11-22,Standard Class,RD-19585,OFF-BI-10002852,Office Supplies,Binders,3,24.23,0,49.44
CA-2017-143455,2017-11-11,Standard Class,ML-17755,OFF-PA-10004451,Office Supplies,Paper,2,3.63,20,10.37
CA-2016-144729,2016-10-21,Standard Class,JE-15745,OFF-ST-10004804,Office Supplies,Storage,3,1.54,0,154.44
CA-2015-127019,2015-12-21,Standard Class,ER-13855,OFF-AP-10003971,Office Supplies,Appliances,7,4.57,20,60.98
CA-2015-138534,2015-07-17,Second Class,JM-15535,FUR-BO-10003159,Furniture,Bookcases,2,-13.8,15,195.47
CA-2017-108322,2017-04-30,Standard Class,SS-20140,FUR-FU-10001935,Furniture,Furnishings,8,6.22,20,23.68
CA-2017-108322,2017-04-30,Standard Class,SS-20140,TEC-AC-10003433,Technology,Accessories,3,0.74,20,2.38
CA-2017-167668,2017-05-06,First Class,TC-21295,OFF-LA-10004544,Office Supplies,Labels,4,29.6,0,59.2
CA-2017-146724,2017-11-20,Standard Class,HG-15025,OFF-AR-10001026,Office Supplies,Art,10,9.68,0,22.0
CA-2016-139878,2016-11-11,Standard Class,LD-17005,TEC-PH-10001336,Technology,Phones,2,74.81,0,257.98
US-2016-106677,2016-11-05,Standard Class,AS-10285,TEC-PH-10003187,Technology,Phones,2,-15.99,40,23.99
CA-2016-116974,2016-10-09,Standard Class,MP-17965,TEC-PH-10004897,Technology,Phones,4,-15.58,40,23.98
CA-2015-149972,2015-09-21,First Class,CD-12790,FUR-CH-10004997,Furniture,Chairs,4,0.0,20,601.54
CA-2015-149972,2015-09-21,First Class,CD-12790,OFF-FA-10002763,Office Supplies,Fasteners,2,2.53,0,7.9
US-2014-117744,2014-12-02,Standard Class,MD-17860,FUR-FU-10001588,Furniture,Furnishings,5,-24.8,60,58.36
US-2014-117744,2014-12-02,Standard Class,MD-17860,OFF-AR-10000940,Office Supplies,Art,7,1.44,20,16.46
US-2014-117744,2014-12-02,Standard Class,MD-17860,FUR-FU-10002759,Furniture,Furnishings,5,-23.98,60,39.96
CA-2014-125514,2014-09-21,First Class,BM-11650,OFF-AP-10000358,Office Supplies,Appliances,2,7.53,0,25.96
CA-2014-125514,2014-09-21,First Class,BM-11650,OFF-AP-10003281,Office Supplies,Appliances,3,10.88,0,36.27
CA-2014-125514,2014-09-21,First Class,BM-11650,OFF-PA-10000029,Office Supplies,Paper,1,3.11,0,6.48
CA-2014-154599,2014-04-12,Standard Class,KN-16450,TEC-PH-10001557,Technology,Phones,14,94.07,20,1075.09
CA-2014-154599,2014-04-12,Standard Class,KN-16450,TEC-PH-10000576,Technology,Phones,4,38.36,20,438.37
CA-2014-154599,2014-04-12,Standard Class,KN-16450,OFF-BI-10002764,Office Supplies,Binders,7,6.56,20,18.09
CA-2014-154599,2014-04-12,Standard Class,KN-16450,FUR-BO-10001337,Furniture,Bookcases,3,-18.15,15,308.5
CA-2017-158743,2017-10-20,Standard Class,IG-15085,OFF-AR-10002257,Office Supplies,Art,4,4.14,0,13.36
CA-2017-158743,2017-10-20,Standard Class,IG-15085,OFF-PA-10001019,Office Supplies,Paper,2,18.78,0,39.96
CA-2017-158743,2017-10-20,Standard Class,IG-15085,OFF-BI-10003364,Office Supplies,Binders,5,70.01,0,145.85
CA-2016-153318,2016-10-25,First Class,JS-15595,TEC-PH-10000984,Technology,Phones,5,78.4,20,783.96
US-2015-110163,2015-11-01,First Class,GA-14725,OFF-AR-10001683,Office Supplies,Art,1,1.77,20,7.88
CA-2017-143329,2017-11-03,Standard Class,DL-13330,FUR-FU-10000629,Furniture,Furnishings,3,17.38,0,41.37
CA-2015-159380,2015-05-12,Standard Class,CS-12505,OFF-PA-10003893,Office Supplies,Paper,3,5.78,0,12.84
CA-2015-159380,2015-05-12,Standard Class,CS-12505,OFF-PA-10004239,Office Supplies,Paper,6,11.56,0,25.68
CA-2015-122623,2015-09-07,Standard Class,CC-12145,FUR-CH-10000553,Furniture,Chairs,2,-2.04,30,47.52
CA-2015-148635,2015-07-25,Second Class,MH-18025,OFF-FA-10004395,Office Supplies,Fasteners,2,0.47,0,9.42
CA-2015-148635,2015-07-25,Second Class,MH-18025,OFF-PA-10004782,Office Supplies,Paper,2,6.22,0,12.96
CA-2015-148635,2015-07-25,Second Class,MH-18025,FUR-BO-10002213,Furniture,Bookcases,5,56.39,0,704.9
CA-2015-148635,2015-07-25,Second Class,MH-18025,FUR-CH-10001854,Furniture,Chairs,2,28.08,20,561.57
CA-2015-135685,2015-11-16,Second Class,MP-18175,OFF-PA-10000157,Office Supplies,Paper,9,84.52,0,179.82
CA-2015-135685,2015-11-16,Second Class,MP-18175,FUR-FU-10001185,Furniture,Furnishings,6,76.09,0,185.58
CA-2015-135685,2015-11-16,Second Class,MP-18175,FUR-TA-10001520,Furniture,Tables,3,36.4,0,214.11
CA-2015-135685,2015-11-16,Second Class,MP-18175,TEC-AC-10004145,Technology,Accessories,4,229.99,0,999.96
CA-2015-135685,2015-11-16,Second Class,MP-18175,FUR-TA-10000688,Furniture,Tables,3,111.1,0,653.55
CA-2015-104626,2015-09-01,Standard Class,DR-12940,OFF-BI-10001510,Office Supplies,Binders,5,51.57,0,114.6
CA-2015-104626,2015-09-01,Standard Class,DR-12940,FUR-CH-10003817,Furniture,Chairs,1,15.19,0,60.74
CA-2015-104626,2015-09-01,Standard Class,DR-12940,FUR-FU-10000308,Furniture,Furnishings,2,27.36,0,124.36
CA-2015-104626,2015-09-01,Standard Class,DR-12940,OFF-ST-10003208,Office Supplies,Storage,6,315.74,0,1088.76
CA-2016-160500,2016-05-05,First Class,DM-13015,OFF-BI-10003784,Office Supplies,Binders,5,2.35,20,6.72
CA-2016-160500,2016-05-05,First Class,DM-13015,FUR-TA-10003748,Furniture,Tables,3,7.47,20,298.78
CA-2017-100202,2016-12-31,Standard Class,BD-11620,TEC-PH-10002563,Technology,Phones,3,22.68,20,302.38
CA-2017-131016,2017-09-18,First Class,DC-12850,OFF-AR-10000122,Office Supplies,Art,2,0.56,20,8.93
CA-2017-131016,2017-09-18,First Class,DC-12850,OFF-ST-10000352,Office Supplies,Storage,2,-2.97,20,47.58
US-2014-112914,2014-09-25,Standard Class,MT-18070,OFF-PA-10003270,Office Supplies,Paper,8,10.56,20,33.79
US-2014-112914,2014-09-25,Standard Class,MT-18070,FUR-BO-10003272,Furniture,Bookcases,2,-97.23,32,300.53
US-2014-112914,2014-09-25,Standard Class,MT-18070,OFF-BI-10002982,Office Supplies,Binders,2,-4.36,80,2.72
US-2014-112914,2014-09-25,Standard Class,MT-18070,OFF-EN-10001509,Office Supplies,Envelopes,2,1.1,20,3.26
CA-2016-124149,2016-04-23,First Class,MJ-17740,OFF-PA-10002421,Office Supplies,Paper,6,37.92,20,108.34
CA-2016-124149,2016-04-23,First Class,MJ-17740,OFF-ST-10000760,Office Supplies,Storage,5,6.29,20,55.92
CA-2016-124149,2016-04-23,First Class,MJ-17740,OFF-PA-10002923,Office Supplies,Paper,2,29.36,20,78.3
CA-2014-148915,2014-11-01,Standard Class,ND-18370,OFF-ST-10001128,Office Supplies,Storage,5,-94.33,20,443.92
CA-2014-148915,2014-11-01,Standard Class,ND-18370,TEC-PH-10000673,Technology,Phones,3,54.59,20,155.98
CA-2017-134649,2017-01-26,Second Class,CA-11965,OFF-AR-10001547,Office Supplies,Art,7,4.18,0,15.47
CA-2017-134649,2017-01-26,Second Class,CA-11965,OFF-BI-10001890,Office Supplies,Binders,2,3.44,0,7.16
CA-2017-110842,2017-11-11,Standard Class,GA-14725,OFF-AP-10003971,Office Supplies,Appliances,1,2.83,0,10.89
CA-2017-110842,2017-11-11,Standard Class,GA-14725,OFF-PA-10000520,Office Supplies,Paper,3,9.33,0,19.44
CA-2017-110842,2017-11-11,Standard Class,GA-14725,OFF-BI-10000977,Office Supplies,Binders,5,39.52,20,121.6
CA-2016-147368,2016-06-09,First Class,TC-21295,TEC-MA-10002178,Technology,Machines,2,-27.83,50,695.7
US-2015-104185,2015-09-03,Second Class,JB-15400,OFF-ST-10001526,Office Supplies,Storage,1,31.29,0,120.33
US-2014-125521,2014-03-14,Standard Class,CK-12325,FUR-CH-10003379,Furniture,Chairs,4,284.98,0,1139.92
US-2017-135062,2017-08-31,Second Class,RL-19615,OFF-PA-10000100,Office Supplies,Paper,7,83.21,20,229.54
CA-2017-135650,2017-03-23,Standard Class,AC-10660,OFF-ST-10001809,Office Supplies,Storage,2,-32.34,20,143.73
CA-2017-112865,2017-05-18,Standard Class,BH-11710,TEC-AC-10000387,Technology,Accessories,3,-0.9,20,36.05
US-2016-162852,2016-12-27,Standard Class,BG-11695,FUR-CH-10004853,Furniture,Chairs,8,-12.08,30,845.49
CA-2017-138163,2017-11-17,First Class,XP-21865,OFF-AR-10001958,Office Supplies,Art,3,14.26,0,50.94
CA-2017-152093,2017-09-10,Standard Class,SN-20560,OFF-BI-10003527,Office Supplies,Binders,3,-1143.89,80,762.59
CA-2017-157854,2017-04-08,Standard Class,DM-13345,FUR-FU-10003832,Furniture,Furnishings,6,15.76,0,56.28
CA-2017-157854,2017-04-08,Standard Class,DM-13345,OFF-BI-10001359,Office Supplies,Binders,3,1264.76,0,2690.97
CA-2016-123617,2016-11-28,Standard Class,AJ-10780,OFF-BI-10002976,Office Supplies,Binders,6,-5.7,70,7.43
US-2016-128293,2016-06-02,First Class,KC-16255,OFF-ST-10000736,Office Supplies,Storage,1,-12.96,20,64.78
CA-2017-107342,2017-12-17,Standard Class,VF-21715,OFF-PA-10001745,Office Supplies,Paper,4,13.24,0,28.16
CA-2016-136371,2016-03-19,Second Class,SV-20935,FUR-FU-10000409,Furniture,Furnishings,1,6.89,0,14.98
CA-2016-136371,2016-03-19,Second Class,SV-20935,FUR-FU-10000221,Furniture,Furnishings,4,6.91,0,20.32
CA-2017-137344,2017-08-20,Same Day,EM-13810,OFF-ST-10000344,Office Supplies,Storage,3,10.48,0,40.29
CA-2017-169810,2017-07-25,Standard Class,RB-19360,OFF-LA-10003663,Office Supplies,Labels,7,9.51,0,20.23
CA-2016-128594,2016-08-26,First Class,DJ-13510,FUR-CH-10001215,Furniture,Chairs,4,100.2,20,1603.14
CA-2016-154690,2016-08-15,Second Class,CC-12370,FUR-CH-10000988,Furniture,Chairs,2,22.53,20,225.3
CA-2017-138975,2017-05-19,Standard Class,SC-20380,TEC-AC-10003441,Technology,Accessories,4,4.07,0,67.8
CA-2017-138975,2017-05-19,Standard Class,SC-20380,TEC-PH-10004389,Technology,Phones,3,98.27,0,377.97
CA-2017-138975,2017-05-19,Standard Class,SC-20380,FUR-BO-10004695,Furniture,Bookcases,9,374.63,0,1628.82
CA-2017-138975,2017-05-19,Standard Class,SC-20380,OFF-PA-10000100,Office Supplies,Paper,7,140.6,0,286.93
